Year,T,TM,Tm,PP,V,RA,SN,TS,FG,TN,GR
1950,7.3,12.3,2.9,-,17.3,133,100,13,118,0,0
1951,7.9,12.7,3.6,-,16.2,146,93,16,140,0,0
1952,8.7,13.6,4.3,-,15.9,118,84,16,129,0,0
1953,9.2,14.1,4.9,-,16.7,141,74,30,131,0,1
1954,8,12.9,3.8,-,16.9,148,98,24,127,0,0
1955,8.8,14.5,4.1,-,15.2,124,100,19,118,0,1
1956,7.3,13.1,2.6,-,16.3,151,103,26,164,0,0
1957,8.3,14.3,2.7,-,16.6,125,87,11,143,0,0
1958,7.6,13.8,1.3,-,17.7,120,98,20,111,0,1
1959,8.3,14.7,3.3,-,16.4,144,102,19,145,0,0
1960,7.7,13.9,2.9,-,15.6,129,87,14,146,0,0
1961,8.2,14.5,3.5,-,16.3,140,88,25,168,0,0
1962,7.8,14.1,2.7,-,15.8,136,99,19,138,0,1
1963,7.6,13.8,2.6,-,14.9,106,95,19,119,0,1
1964,7.6,12.9,2.9,-,15.2,128,73,21,148,0,0
1965,6.9,11.8,2.6,-,14.9,142,88,24,164,0,0
1966,7.3,12.4,2.7,-,14.8,128,93,14,148,0,0
1967,-,-,-,-,-,-,-,-,-,-,-
1982,7.2,13.3,1.2,923.73,13.7,143,92,22,162,0,1
1983,8.1,13.9,2.4,836.67,13.4,162,86,32,158,0,4
1984,7.6,13.5,1.8,843.99,12.8,153,77,29,165,0,1
1985,7.5,13.5,2,986.2,16.3,152,99,28,149,0,3
1986,7.8,13.6,2.1,1091.85,14.1,154,76,33,166,0,2
1987,8.8,15.1,2.8,787.04,13.1,151,69,34,157,1,2
1988,8.1,14.5,2,680.67,15.3,155,96,38,125,0,3
1989,7.3,13.4,1.3,732.51,14.3,150,102,28,156,0,0
1990,8.9,15.1,3.1,887.63,15.7,168,80,22,166,0,0
1991,9.1,15.2,3.3,830.07,14.6,149,78,30,127,0,1
1992,7.3,12.9,1.7,967.7,12.5,171,91,32,85,0,1
1993,7.5,13.5,1.5,762.67,14.1,165,88,34,130,0,1
1994,7.5,14,1.6,951.45,14.5,153,86,38,145,1,1
1995,8,14,2.4,900.39,14.8,165,100,31,136,0,3
1996,7.3,12.7,2.5,951.65,14.3,177,99,39,64,0,3
1997,7.8,13.5,2.8,627.08,14.5,159,109,22,17,0,2
1998,10.5,16.3,5.4,686.54,14,153,51,27,9,0,1
1999,9.7,15.4,4.8,760.93,15.8,144,67,23,21,0,0
2000,8.4,14.1,3.5,777.67,15.6,156,86,28,53,0,1
2001,9.8,15.2,5,731.15,16.1,149,83,25,35,0,0
2002,-,-,-,-,-,149,88,23,38,0,0
2003,8.1,13.6,3.3,1078.68,16,159,91,30,48,0,1
2004,8.4,13.8,3.6,756.58,16.1,157,78,22,23,0,0
2005,-,-,-,-,-,-,-,-,-,-,-
2006,9.9,15.2,5.2,860.79,16.3,171,58,27,12,0,1
2007,9.2,14.8,4,602.99,16.1,139,79,26,9,0,2
2008,8.4,13.8,3.7,1043.89,15.5,160,82,35,10,0,4
2009,8.3,13.7,3.4,905.28,15.9,149,60,27,2,0,3
2010,9.8,15.2,4.9,817.87,16.7,147,62,19,5,0,0
2011,9.4,14.7,4.7,925.82,15.9,158,62,29,11,0,0
2012,10.7,16.4,5.7,730.72,14.7,166,63,25,10,0,1
2013,8.7,13.8,4,1023.54,15.7,159,85,31,7,0,1
2014,7.7,13,3,729.14,16.6,156,79,27,8,0,1
2015,8.9,14.6,3.9,697.16,16.3,148,66,19,12,0,2
2016,10.3,15.9,5.5,636.23,16.4,134,74,18,5,0,0
2017,9.5,14.9,5,862.5,16.4,172,65,31,16,0,0
2018,9.2,14.3,4.7,848.81,16.1,148,90,25,11,0,0
