Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,033106,2002,03,29.0,Y
IDCJAC0002,033106,2002,04,27.1,Y
IDCJAC0002,033106,2002,05,24.8,Y
IDCJAC0002,033106,2002,06,22.0,Y
IDCJAC0002,033106,2002,07,21.6,Y
IDCJAC0002,033106,2002,08,22.6,Y
IDCJAC0002,033106,2002,09,25.9,Y
IDCJAC0002,033106,2002,10,27.6,Y
IDCJAC0002,033106,2002,11,27.9,Y
IDCJAC0002,033106,2002,12,30.0,Y
IDCJAC0002,033106,2003,01,29.6,Y
IDCJAC0002,033106,2003,02,29.5,Y
IDCJAC0002,033106,2003,03,28.3,Y
IDCJAC0002,033106,2003,04,27.3,Y
IDCJAC0002,033106,2003,05,24.3,Y
IDCJAC0002,033106,2003,06,22.7,Y
IDCJAC0002,033106,2003,07,21.8,Y
IDCJAC0002,033106,2003,08,23.5,Y
IDCJAC0002,033106,2003,09,26.2,Y
IDCJAC0002,033106,2003,10,28.3,Y
IDCJAC0002,033106,2003,11,28.7,Y
IDCJAC0002,033106,2003,12,30.9,Y
IDCJAC0002,033106,2004,01,30.6,Y
IDCJAC0002,033106,2004,02,30.2,Y
IDCJAC0002,033106,2004,03,29.1,Y
IDCJAC0002,033106,2004,04,27.1,Y
IDCJAC0002,033106,2004,05,25.3,Y
IDCJAC0002,033106,2004,06,22.6,Y
IDCJAC0002,033106,2004,07,21.9,Y
IDCJAC0002,033106,2004,08,24.1,Y
IDCJAC0002,033106,2004,09,25.3,Y
IDCJAC0002,033106,2004,10,28.5,Y
IDCJAC0002,033106,2004,11,29.5,Y
IDCJAC0002,033106,2004,12,30.0,Y
IDCJAC0002,033106,2005,01,29.6,Y
IDCJAC0002,033106,2005,02,30.8,Y
IDCJAC0002,033106,2005,03,29.6,Y
IDCJAC0002,033106,2005,04,26.4,Y
IDCJAC0002,033106,2005,05,24.2,Y
IDCJAC0002,033106,2005,06,22.8,Y
IDCJAC0002,033106,2005,07,22.3,Y
IDCJAC0002,033106,2005,08,22.2,Y
IDCJAC0002,033106,2005,09,25.3,Y
IDCJAC0002,033106,2005,10,28.8,Y
IDCJAC0002,033106,2005,11,29.4,Y
IDCJAC0002,033106,2005,12,31.7,Y
IDCJAC0002,033106,2006,01,30.4,Y
IDCJAC0002,033106,2006,02,30.2,Y
IDCJAC0002,033106,2006,03,28.6,Y
IDCJAC0002,033106,2006,04,27.6,Y
IDCJAC0002,033106,2006,05,24.1,Y
IDCJAC0002,033106,2006,06,21.3,Y
IDCJAC0002,033106,2006,07,21.3,Y
IDCJAC0002,033106,2006,08,22.7,Y
IDCJAC0002,033106,2006,09,23.9,Y
IDCJAC0002,033106,2006,10,25.7,Y
IDCJAC0002,033106,2006,11,28.1,Y
IDCJAC0002,033106,2006,12,28.8,Y
IDCJAC0002,033106,2007,01,29.4,Y
IDCJAC0002,033106,2007,02,27.9,Y
IDCJAC0002,033106,2007,03,28.8,Y
IDCJAC0002,033106,2007,04,27.1,Y
IDCJAC0002,033106,2007,05,25.4,Y
IDCJAC0002,033106,2007,06,22.3,Y
IDCJAC0002,033106,2007,07,20.0,Y
IDCJAC0002,033106,2007,08,22.1,Y
IDCJAC0002,033106,2007,09,24.4,Y
IDCJAC0002,033106,2007,10,27.0,Y
IDCJAC0002,033106,2007,11,27.7,Y
IDCJAC0002,033106,2007,12,29.0,Y
IDCJAC0002,033106,2008,01,29.2,Y
