Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0004,033106,2002,null,null,24.5,22.6,20.8,18.4,17.8,18.3,19.8,22.2,22.9,24.6,null
IDCJAC0004,033106,2003,24.5,24.4,24.3,22.6,20.5,19.5,18.2,18.7,20.3,22.7,23.3,24.5,22.0
IDCJAC0004,033106,2004,25.1,25.3,24.2,22.6,21.0,18.8,17.8,18.1,19.7,21.9,23.2,24.5,21.9
IDCJAC0004,033106,2005,24.5,25.6,24.7,22.2,20.2,19.4,18.3,17.9,19.8,22.5,23.7,25.8,22.0
IDCJAC0004,033106,2006,25.0,25.4,24.2,23.4,20.5,18.0,17.9,18.0,19.1,20.6,22.4,23.4,21.5
IDCJAC0004,033106,2007,24.3,23.6,24.8,23.2,21.6,19.4,16.2,18.4,19.4,22.3,22.8,24.3,21.7
IDCJAC0004,033106,2008,24.6,24.2,22.8,21.5,20.0,19.1,17.3,17.1,20.0,22.0,24.1,25.6,21.5
IDCJAC0004,033106,2009,24.5,24.4,24.0,23.3,20.3,19.5,18.4,19.3,21.4,22.2,22.7,24.6,22.0
IDCJAC0004,033106,2010,25.0,25.2,24.3,23.0,20.9,18.6,18.8,18.9,21.7,22.1,22.0,24.1,22.1
IDCJAC0004,033106,2011,24.5,24.6,23.9,22.0,19.2,17.1,16.9,17.8,19.0,21.8,23.5,24.1,21.2
IDCJAC0004,033106,2012,24.8,25.2,24.0,22.4,20.0,17.7,16.9,17.3,19.8,21.3,23.2,24.2,21.4
IDCJAC0004,033106,2013,25.1,24.2,23.4,22.3,20.4,18.8,18.6,18.7,20.7,22.5,23.3,24.3,21.9
IDCJAC0004,033106,2014,24.6,24.0,23.3,23.4,20.9,19.1,17.3,18.0,19.6,21.4,23.4,24.8,21.6
IDCJAC0004,033106,2015,25.0,24.5,25.4,23.1,20.2,19.1,17.8,18.8,20.4,21.3,23.7,24.8,22.0
IDCJAC0004,033106,2016,25.2,25.6,24.8,23.6,23.0,19.8,19.2,18.5,21.0,22.2,23.8,24.4,22.6
IDCJAC0004,033106,2017,25.2,25.8,25.0,21.7,20.6,19.0,19.5,19.8,20.8,22.6,23.1,24.7,22.3
IDCJAC0004,033106,2018,25.4,24.2,24.1,22.8,20.6,18.5,18.5,18.8,20.4,22.3,24.1,24.2,22.0
IDCJAC0004,033106,2019,24.2,24.7,24.8,22.6,20.9,18.2,18.0,18.2,19.4,null,null,null,null
