Year,T
1954,-
1955,26.5
1956,26.2
1957,26.6
1958,26.9
1959,26.7
1960,26.6
1961,26.7
1962,26.4
1963,26.6
1964,26.4
1965,-
1973,26.3
1974,26.1
1975,26.1
1976,-
1977,26.6
1978,26.7
1979,26.8
1980,26.8
1981,-
1982,27.3
1983,27.6
1984,26.7
1985,27.1
1986,27.1
1987,27.3
1988,27.2
1989,26.9
1990,27.6
1991,27.4
1992,27.3
1993,27.5
1994,27.6
1995,27.6
1996,27.6
1997,28.3
1998,28.4
1999,27.6
2000,27.5
2001,28
2002,-
2003,28.4
2004,28.5
2005,-
2006,28.3
2007,28.2
2008,28.1
2009,28.7
2010,28.9
2011,28.4
2012,28.7
2013,28.7
2014,28.9
2015,29.2
2016,29.5
2017,28.8
2018,28.5
2019,-
