Year,T
1937,-
1949,-
1950,-
1951,-
1952,-
1953,-
1954,-
1955,-
1956,-
1957,-
1959,1.6
1960,1
1961,1.4
1962,-0.1
1963,0.2
1964,0.6
1965,-0.9
1966,-2.2
1967,1.4
1968,-1.4
1969,-1.2
1970,0.4
1971,-
1973,-0.1
1974,2.3
1975,0.8
1976,-0.6
1977,-0.1
1978,-1.2
1979,-0.2
1980,-0.8
1981,-0.8
1982,0.4
1983,0.3
1984,1.1
1985,-1.7
1986,-0.2
1987,-0.8
1988,0.1
1989,2.4
1990,1.2
1991,0.8
1992,1.3
1993,0.4
1994,1
1995,0.5
1996,0.8
1997,-
1998,-2
1999,-0.3
2000,1.5
2001,-0.4
2002,-
2003,0.5
2004,0.8
2005,-
2006,0.5
2007,0.8
2008,0.3
2009,-0.5
2010,-1
2011,1.1
2012,-0.4
2013,1.3
2014,0.7
2015,1.5
2016,1.5
2017,0
2018,1.2
2019,-
