"Site4","Date","Source","Max Temp","Min Temp","Avg Temp","HDDs","CDDs","Precipitation Water Equiv","Snowfall","Snow/Ice Depth"
"CYYZ",1/1/1971 0:00:00,"Unknwn-EstDew-EstWind",20,2,11.00,54.00,0.00,0.00,0.00,7.10
"CYYZ",1/2/1971 0:00:00,"Unknwn-EstDew-EstWind",38,5,21.50,43.50,0.00,1.0e-04,0.10,7.10
"CYYZ",1/3/1971 0:00:00,"Unknwn-EstDew-EstWind",35,29,32.00,33.00,0.00,0.00,0.00,3.90
"CYYZ",1/4/1971 0:00:00,"Unknwn-EstDew-EstWind",42,30,36.00,29.00,0.00,0.29,0.90,5.10
"CYYZ",1/5/1971 0:00:00,"Unknwn-EstDew-EstWind",32,18,25.00,40.00,0.00,1.0e-04,0.10,3.20
"CYYZ",1/6/1971 0:00:00,"Unknwn-EstDew-EstWind",19,10,14.50,50.50,0.00,1.0e-04,1.0e-03,3.20
"CYYZ",1/7/1971 0:00:00,"Unknwn-EstDew-EstWind",17,6,11.50,53.50,0.00,1.0e-04,0.10,3.20
"CYYZ",1/8/1971 0:00:00,"Unknwn-EstDew-EstWind",19,-1,9.00,56.00,0.00,1.0e-04,0.10,2.00
"CYYZ",1/9/1971 0:00:00,"Unknwn-EstDew-EstWind",23,9,16.00,49.00,0.00,0.02,0.80,2.00
"CYYZ",1/10/1971 0:00:00,"Unknwn-EstDew-EstWind",31,18,24.50,40.50,0.00,1.0e-04,0.20,3.20
"CYYZ",1/11/1971 0:00:00,"Unknwn-EstDew-EstWind",29,21,25.00,40.00,0.00,0.12,1.90,2.00
"CYYZ",1/12/1971 0:00:00,"Unknwn-EstDew-EstWind",25,-4,10.50,54.50,0.00,1.0e-04,1.0e-03,3.20
"CYYZ",1/13/1971 0:00:00,"ENVCAN-EstDew-EstWind",19,-2,8.50,56.50,0.00,0.01,0.50,3.20
"CYYZ",1/14/1971 0:00:00,"ENVCAN-EstDew-EstWind",31,15,23.00,42.00,0.00,0.01,1.0e-03,3.20
"CYYZ",1/15/1971 0:00:00,"ENVCAN-EstDew-EstWind",28,0,14.00,51.00,0.00,0.01,0.30,3.20
"CYYZ",1/16/1971 0:00:00,"ENVCAN-EstDew-EstWind",11,-11,0.00,65.00,0.00,1.0e-04,1.0e-03,3.20
"CYYZ",1/17/1971 0:00:00,"ENVCAN-EstDew-EstWind",17,-9,4.00,61.00,0.00,0.02,0.40,3.20
"CYYZ",1/18/1971 0:00:00,"ENVCAN-EstDew-EstWind",5,-10,-2.50,67.50,0.00,1.0e-04,1.0e-03,3.20
"CYYZ",1/19/1971 0:00:00,"ENVCAN-EstDew-EstWind",8,-4,2.00,63.00,0.00,0.04,0.60,3.20
"CYYZ",1/20/1971 0:00:00,"ENVCAN-EstDew-EstWind",20,1,10.50,54.50,0.00,1.0e-04,1.0e-03,3.90
"CYYZ",1/21/1971 0:00:00,"ENVCAN-EstDew-EstWind",32,19,25.50,39.50,0.00,0.12,1.50,5.10
"CYYZ",1/22/1971 0:00:00,"ENVCAN-EstDew-EstWind",32,25,28.50,36.50,0.00,1.0e-04,1.0e-03,5.90
"CYYZ",1/23/1971 0:00:00,"ENVCAN-EstDew-EstWind",31,22,26.50,38.50,0.00,1.0e-04,1.0e-03,5.10
"CYYZ",1/24/1971 0:00:00,"ENVCAN-EstDew-EstWind",32,18,25.00,40.00,0.00,0.00,0.00,5.10
"CYYZ",1/25/1971 0:00:00,"ENVCAN-EstDew-EstWind",34,19,26.50,38.50,0.00,0.00,0.00,3.90
"CYYZ",1/26/1971 0:00:00,"ENVCAN-EstDew-EstWind",36,4,20.00,45.00,0.00,0.20,1.40,3.20
"CYYZ",1/27/1971 0:00:00,"ENVCAN-EstDew-EstWind",8,-4,2.00,63.00,0.00,0.04,0.50,5.10
"CYYZ",1/28/1971 0:00:00,"ENVCAN-EstDew-EstWind",12,-1,5.50,59.50,0.00,1.0e-04,0.10,5.10
"CYYZ",1/29/1971 0:00:00,"ENVCAN-EstDew-EstWind",25,6,15.50,49.50,0.00,0.24,2.20,5.10
"CYYZ",1/30/1971 0:00:00,"ENVCAN-EstDew-EstWind",24,0,12.00,53.00,0.00,0.03,0.40,7.10
"CYYZ",1/31/1971 0:00:00,"ENVCAN-EstDew-EstWind",6,-7,-0.50,65.50,0.00,0.00,0.00,7.10
"CYYZ",2/1/1971 0:00:00,"Unknwn-EstDew-EstWind",5,-5,0.00,65.00,0.00,0.01,0.10,7.10
"CYYZ",2/2/1971 0:00:00,"Unknwn-EstDew-EstWind",8,-9,-0.50,65.50,0.00,1.0e-04,1.0e-03,7.10
"CYYZ",2/3/1971 0:00:00,"Unknwn-EstDew-EstWind",20,0,10.00,55.00,0.00,0.02,0.20,5.90
"CYYZ",2/4/1971 0:00:00,"Unknwn-EstDew-EstWind",31,12,21.50,43.50,0.00,0.26,1.0e-03,5.90
"CYYZ",2/5/1971 0:00:00,"Unknwn-EstDew-EstWind",42,28,35.00,30.00,0.00,0.28,1.0e-03,3.90
"CYYZ",2/6/1971 0:00:00,"Unknwn-EstDew-EstWind",29,14,21.50,43.50,0.00,1.0e-04,1.0e-03,3.20
"CYYZ",2/7/1971 0:00:00,"Unknwn-EstDew-EstWind",28,7,17.50,47.50,0.00,0.08,1.00,3.20
"CYYZ",2/8/1971 0:00:00,"Unknwn-EstDew-EstWind",26,20,23.00,42.00,0.00,0.31,3.50,5.10
"CYYZ",2/9/1971 0:00:00,"Unknwn-EstDew-EstWind",20,5,12.50,52.50,0.00,0.05,0.50,7.10
"CYYZ",2/10/1971 0:00:00,"Unknwn-EstDew-EstWind",19,5,12.00,53.00,0.00,1.0e-04,0.10,5.90
"CYYZ",2/11/1971 0:00:00,"Unknwn-EstDew-EstWind",37,15,26.00,39.00,0.00,1.0e-04,1.0e-03,3.90
"CYYZ",2/12/1971 0:00:00,"Unknwn-EstDew-EstWind",37,14,25.50,39.50,0.00,0.29,2.50,3.90
"CYYZ",2/13/1971 0:00:00,"ENVCAN-EstDew-EstWind",16,8,12.00,53.00,0.00,0.08,0.80,7.10
"CYYZ",2/14/1971 0:00:00,"ENVCAN-EstDew-EstWind",22,7,14.50,50.50,0.00,1.0e-04,1.0e-03,5.10
"CYYZ",2/15/1971 0:00:00,"ENVCAN-EstDew-EstWind",28,18,23.00,42.00,0.00,1.0e-04,1.0e-03,5.10
"CYYZ",2/16/1971 0:00:00,"ENVCAN-EstDew-EstWind",28,6,17.00,48.00,0.00,0.00,0.00,5.10
"CYYZ",2/17/1971 0:00:00,"ENVCAN-EstDew-EstWind",35,23,29.00,36.00,0.00,0.16,1.30,3.90
"CYYZ",2/18/1971 0:00:00,"ENVCAN-EstDew-EstWind",41,26,33.50,31.50,0.00,0.00,0.00,3.90
"CYYZ",2/19/1971 0:00:00,"ENVCAN-EstDew-EstWind",30,21,25.50,39.50,0.00,1.0e-04,0.00,3.20
"CYYZ",2/20/1971 0:00:00,"ENVCAN-EstDew-EstWind",37,29,33.00,32.00,0.00,0.39,0.00,3.20
"CYYZ",2/21/1971 0:00:00,"ENVCAN-EstDew-EstWind",30,22,26.00,39.00,0.00,0.01,0.10,1.20
"CYYZ",2/22/1971 0:00:00,"ENVCAN-EstDew-EstWind",31,22,26.50,38.50,0.00,0.48,0.10,1.20
"CYYZ",2/23/1971 0:00:00,"ENVCAN-EstDew-EstWind",35,30,32.50,32.50,0.00,0.28,2.20,3.20
"CYYZ",2/24/1971 0:00:00,"ENVCAN-EstDew-EstWind",33,28,30.50,34.50,0.00,1.0e-04,0.10,2.00
